True,progenitor,effector,terminal exhausted,cycling,other
Il12rb1,0.032520325203252036,0.18699186991869918,0.3159117305458769,0.45063879210220675,0.013937282229965157
Il12rb2,0.18181818181818182,0.20320855614973263,0.3048128342245989,0.29411764705882354,0.016042780748663103
Irf2,0.03463203463203463,0.16277056277056276,0.3333333333333333,0.45194805194805193,0.017316017316017316
Irf9,0.375,0.17708333333333334,0.23958333333333334,0.19791666666666666,0.010416666666666666
Klf2,1.0,0.0,0.0,0.0,0.0
Ldhb,0.10309278350515463,0.13402061855670103,0.34536082474226804,0.41237113402061853,0.005154639175257732
Lef1,0.27,0.28,0.18,0.26,0.01
Litaf,0.07162534435261708,0.3526170798898072,0.2369146005509642,0.3278236914600551,0.011019283746556474
Lrp1,0.3055555555555556,0.16666666666666666,0.375,0.1388888888888889,0.013888888888888888
Myb,0.41935483870967744,0.22580645161290322,0.1935483870967742,0.16129032258064516,0.0
Nr3c1,0.050666666666666665,0.09066666666666667,0.312,0.5333333333333333,0.013333333333333334
Nr4a1,0.2826086956521739,0.13043478260869565,0.29347826086956524,0.28804347826086957,0.005434782608695652
Nr4a2,0.19705882352941176,0.07941176470588235,0.3,0.4102941176470588,0.013235294117647059
Nr4a3,0.28040540540540543,0.16722972972972974,0.23648648648648649,0.30236486486486486,0.013513513513513514
Oxnad1,0.423728813559322,0.2542372881355932,0.13559322033898305,0.1864406779661017,0.0
P2rx7,0.46511627906976744,0.13953488372093023,0.11627906976744186,0.2558139534883721,0.023255813953488372
Prdm1,0.2994791666666667,0.08854166666666667,0.24739583333333334,0.3541666666666667,0.010416666666666666
Rad21,0.4,0.4,0.1,0.1,0.0
Rela,0.22826086956521738,0.29347826086956524,0.14130434782608695,0.2826086956521739,0.05434782608695652
Rps6,1.0,0.0,0.0,0.0,0.0
Runx2,0.034383954154727794,0.2808022922636103,0.27507163323782235,0.3954154727793696,0.014326647564469915
Runx3,1.0,0.0,0.0,0.0,0.0
Satb1,0.19246031746031747,0.25992063492063494,0.20634920634920634,0.3194444444444444,0.021825396825396824
Sox4,0.0696969696969697,0.11212121212121212,0.2909090909090909,0.5121212121212121,0.015151515151515152
Sp100,0.024475524475524476,0.28846153846153844,0.28146853146853146,0.3916083916083916,0.013986013986013986
Sp140,0.5151515151515151,0.12121212121212122,0.12121212121212122,0.24242424242424243,0.0
Stat4,0.3,0.3,0.2,0.16666666666666666,0.03333333333333333
Sub1,0.11194029850746269,0.19402985074626866,0.30597014925373134,0.373134328358209,0.014925373134328358
Tbx21,1.0,0.0,0.0,0.0,0.0
Tcf3,0.14606741573033707,0.16853932584269662,0.21348314606741572,0.449438202247191,0.02247191011235955
Tcf7,0.10437710437710437,0.29292929292929293,0.31313131313131315,0.2760942760942761,0.013468013468013467
Tox,0.1891891891891892,0.43243243243243246,0.21621621621621623,0.13513513513513514,0.02702702702702703
Tox2,0.017309023771059313,0.05700438495268867,0.36787445188091394,0.5308100623124856,0.027002077082852526
Tpt1,0.44,0.16,0.12,0.28,0.0
Unperturbed,0.06749698674166332,0.20972278023302532,0.3133788670148654,0.39212535154680594,0.017276014463640015
Yy1,0.6,0.2,0.08,0.12,0.0
Zeb2,0.017482517482517484,0.11538461538461539,0.28205128205128205,0.4393939393939394,0.1456876456876457
Zfp292,0.12460063897763578,0.5559105431309904,0.09904153354632587,0.2108626198083067,0.009584664536741214
