gene,a_i,b_i,c_i,d_i,e_i
Terf1,0.29205704,0.18835492,0.21586557,0.25941873,0.044303775
Rpl7,0.18901606,0.27647132,0.24926278,0.27930748,0.0059423447
Rdh10,0.20319165,0.169452,0.23877673,0.3529467,0.03563291
Stau2,0.4831935,0.1681005,0.16465677,0.1618197,0.022229552
Ube2w,0.06268548,0.16371071,0.32255694,0.44119987,0.009846926
Eloc,0.07577638,0.33737087,0.24487326,0.34108803,0.00089144707
Tmem70,0.15275036,0.22394887,0.2670772,0.3384003,0.017823279
Ly96,0.24125579,0.17766838,0.23817675,0.3180676,0.024831474
Mcm3,0.85162544,0.068683155,0.031388458,0.0372385,0.01106447
6720483E21Rik,0.15409374,0.17270759,0.2816302,0.36535823,0.026210248
Paqr8,0.5601995,0.1271796,0.13694264,0.16571173,0.009966493
Tram2,0.50196034,0.17124982,0.1455519,0.16615574,0.0150821805
Tmem14a,0.1283385,0.19070213,0.29144332,0.38356632,0.0059497356
Kcnq5,0.17131984,0.23503573,0.24940825,0.33367458,0.010561585
Ogfrl1,0.22690238,0.18431935,0.25752753,0.32565475,0.005595982
B3gat2,0.1992999,0.20720305,0.24387436,0.33550635,0.014116287
Smap1,0.09965769,0.16295373,0.36763996,0.3660569,0.0036916733
Sdhaf4,0.21547168,0.16467729,0.25972536,0.34419858,0.015927076
Fam135a,0.10675728,0.16145277,0.30681658,0.39371315,0.031260252
Lmbrd1,0.24391413,0.16894513,0.23800582,0.3142803,0.03485465
Phf3,0.26887047,0.22531432,0.1942415,0.26383853,0.047735214
Ptp4a1,0.4750391,0.10911395,0.20009094,0.2051619,0.01059413
Ptp4a1.1,0.4188699,0.19876257,0.17336486,0.19443142,0.01457119
Prim2,0.27001017,0.20981187,0.21995959,0.27410245,0.026115894
Rab23,0.16273004,0.23132972,0.24150696,0.3501282,0.014305115
Bag2,0.3755856,0.17677884,0.1984147,0.24371497,0.0055059195
Zfp451,0.14229648,0.14575526,0.27465904,0.41725734,0.020031929
Bend6,0.38141322,0.23085062,0.13556466,0.2353652,0.016806304
Dst,0.16932677,0.21181457,0.2689702,0.33946574,0.010422707
Gm37233,0.07187146,0.20699656,0.30704227,0.38863504,0.02545464
Ccdc115,0.10436786,0.1972506,0.2688977,0.39469126,0.034792542
Gm28306,0.120661736,0.19090757,0.26091164,0.3976976,0.029821515
Imp4,0.22274716,0.18097867,0.2536962,0.334945,0.007632971
Ptpn18,0.37766284,0.14461102,0.23797539,0.22514611,0.014604628
Gm28417,0.11504275,0.1662052,0.2965758,0.3796554,0.04252088
4930568A12Rik,0.06951178,0.17705867,0.3297199,0.38839445,0.035315156
Arhgef4,0.051837627,0.2194325,0.27993247,0.4311348,0.017662644
Gm38336,0.07716688,0.16226245,0.32715023,0.40458465,0.028835773
Fam168b,0.496561,0.1498691,0.14550975,0.17081176,0.037248373
Plekhb2,0.10208226,0.15962526,0.32046556,0.39465016,0.02317673
Hs6st1,0.3693976,0.17300087,0.1890697,0.24103512,0.027496755
Gm33280,0.13210228,0.18433504,0.26522553,0.3817422,0.036594987
Uggt1,0.33433476,0.15690666,0.24048112,0.26257914,0.0056983232
Neurl3,0.09649631,0.19990514,0.30096385,0.3954727,0.0071620345
Arid5a,0.18012153,0.21681729,0.23999956,0.34765008,0.015411615
4930403P22Rik,0.058806185,0.17010243,0.3217928,0.4294638,0.019834757
Kansl3,0.17483296,0.19868012,0.29021358,0.30412194,0.03215134
Lman2l,0.15404154,0.13731901,0.27853006,0.400052,0.03005737
Cnnm4,0.18673629,0.14469865,0.2724842,0.35763744,0.038443446
Cnnm3,0.11711104,0.15368617,0.30919033,0.40450627,0.015506208
Ankrd23,0.1939267,0.1418592,0.2800119,0.34097046,0.043231726
Ankrd39,0.14059468,0.195922,0.2616483,0.38327754,0.018557489
Sema4c,0.11504247,0.22166237,0.28438005,0.35636875,0.022546291
D430040D24Rik,0.9021844,0.04131901,0.029506497,0.023062773,0.0039272904
Fam178b,0.09419055,0.18690889,0.29396415,0.40003404,0.024902344
Cox5b,0.11277422,0.16162473,0.29930925,0.4217321,0.0045597553
Actr1b,0.07905068,0.22569856,0.28540516,0.40030518,0.009540439
4933424G06Rik,0.12722166,0.17854655,0.2839587,0.39126548,0.019007564
Gm33533,0.10154261,0.1671851,0.3237134,0.38990623,0.01765269
Zap70,0.12502503,0.15622279,0.31761593,0.3893522,0.011784077
Tmem131,0.10035974,0.15349196,0.30747816,0.42443177,0.014238358
Gm38115,0.10575196,0.12797262,0.31560263,0.4336643,0.017008543
Vwa3b,0.3873206,0.1950539,0.17502756,0.23952666,0.0030713081
Inpp4a,0.08437686,0.15399076,0.28798464,0.44597188,0.027675867
Coa5,0.13365024,0.19741756,0.27375418,0.38458347,0.010594547
Unc50,0.12634668,0.14291027,0.28683203,0.42571783,0.018193185
Mgat4a,0.05237469,0.15007626,0.3299878,0.4505803,0.016980946
2010300C02Rik,0.2567384,0.2199914,0.23068647,0.2869431,0.005640626
4930556I23Rik,0.099809326,0.18205678,0.27737182,0.40752923,0.033232808
Tsga10,0.36313513,0.13249715,0.23531723,0.25259414,0.016456366
Lipt1,0.05850002,0.19141085,0.32431823,0.41703096,0.008739948
Mitd1,0.13871,0.16689056,0.25409093,0.40168953,0.038618922
Mrpl30,0.522227,0.11208373,0.15215294,0.18677576,0.026760578
Txndc9,0.08786446,0.20066325,0.30186874,0.39227223,0.017331302
Eif5b,0.09562252,0.24751088,0.2564482,0.3735312,0.026887178
Rev1,0.09694865,0.18825927,0.27539116,0.3993484,0.040052533
Aff3,0.103560574,0.1510614,0.298023,0.40852234,0.038832664
Chst10,0.13780382,0.24966213,0.2307879,0.33998448,0.041761696
Pdcl3,0.10711934,0.2385601,0.27897027,0.33707833,0.038271964
Rpl31,0.07234081,0.21290703,0.27476385,0.41766426,0.022324085
Tbc1d8,0.35736102,0.13598098,0.21742456,0.26661462,0.02261883
Cnot11,0.13222969,0.19730039,0.29670352,0.34481227,0.028954148
Gm15832,0.58374625,0.09816672,0.11845323,0.16880776,0.030826092
Rnf149,0.0396995,0.17876591,0.3285897,0.4439467,0.008998156
Creg2,0.12260124,0.24095395,0.29347897,0.31022367,0.032742143
Map4k4,0.16653238,0.14220597,0.3087944,0.37391242,0.008554816
Il1r2,0.19866312,0.15711938,0.26885378,0.3536143,0.021749377
Gm16894,0.4316085,0.16006401,0.20604783,0.1796327,0.022646904
Il1rl2,0.084049016,0.18605933,0.32638356,0.40182984,0.0016782284
Il1rl1,0.28913033,0.15989272,0.22849874,0.29724866,0.025229514
Il18r1,0.84090513,0.060905613,0.035434954,0.06197785,0.0007764101
Il18rap,0.17086619,0.25028318,0.2439393,0.2898055,0.045105815
Mfsd9,0.12844421,0.19681369,0.277872,0.38900322,0.007866919
Mrps9,0.121870995,0.22232836,0.28435257,0.3450253,0.026422739
Gpr45,0.13654983,0.21647619,0.26412383,0.35619766,0.026652515
Tgfbrap1,0.8577584,0.050768156,0.035615176,0.043884274,0.011973977
8430432A02Rik,0.19014965,0.19242796,0.28790653,0.3079338,0.021582067
AI597479,0.27643135,0.17268892,0.25907263,0.24408737,0.047719717
Fhl2,0.55188656,0.1233405,0.13623193,0.1785995,0.009941578
Nck2,0.136128,0.25698715,0.27775586,0.32659742,0.0025315285
Uxs1,0.29786655,0.18026845,0.2350568,0.2698658,0.016942382
Tpp2,0.12635456,0.21318154,0.26098618,0.36281815,0.0366596
Mettl21c,0.15219462,0.16024964,0.28007236,0.37733564,0.030147672
Gm8251,0.25450915,0.13071075,0.26155865,0.31989467,0.033326745
Tex30,0.18121,0.216304,0.25916517,0.337941,0.0053798556
Poglut2,0.09695318,0.22314994,0.27831334,0.40051007,0.0010734797
Bivm,0.51355827,0.14198835,0.11431471,0.17813107,0.052007556
Ercc5,0.085178405,0.16312043,0.29789227,0.4337641,0.020044804
Wdr75,0.36851555,0.22204486,0.17581959,0.20093882,0.032681167
Slc39a10,0.5912439,0.100623585,0.1372174,0.15648347,0.014431596
Nabp1,0.15398355,0.25773022,0.24726883,0.29960084,0.041416526
Gm17767,0.47118342,0.15955453,0.1468633,0.18088545,0.041513324
Myo1b,0.5567419,0.12672086,0.12872899,0.16192311,0.025885165
Stat4,0.22224128,0.2311785,0.26729012,0.25604066,0.023249388
Gm31812,0.065312006,0.1906714,0.32550612,0.4105396,0.00797081
Stat1,0.4940547,0.14647366,0.13608825,0.17737101,0.046012342
Gls,0.2951562,0.2186723,0.17658933,0.2515702,0.05801201
Nab1,0.11955549,0.20042321,0.2914667,0.3707952,0.017759383
Nemp2,0.31385854,0.13563856,0.21259555,0.3037723,0.034134984
Mfsd6,0.5144742,0.17034839,0.14895076,0.14850824,0.017718375
Gm29670,0.37953073,0.15162684,0.22055416,0.21711957,0.0311687
Inpp1,0.29301888,0.18676212,0.2292907,0.2839387,0.0069895983
Hibch,0.3101109,0.20473346,0.19719455,0.2493731,0.038588047
1700019D03Rik,0.15831026,0.19606185,0.26533946,0.36537972,0.014908671
Pms1,0.3550318,0.18963717,0.19645697,0.23049821,0.028375864
Ormdl1,0.16580027,0.21509844,0.24903698,0.36698982,0.0030745268
Osgepl1,0.38028723,0.13546118,0.2253424,0.2182104,0.040698826
Asnsd1,0.033072434,0.19175544,0.3711348,0.39101535,0.013022006
Stk17b,0.26364085,0.2635616,0.2057371,0.23970157,0.02735883
Hecw2,0.69231397,0.08773598,0.07117472,0.11732634,0.03144902
Gtf3c3,0.13779958,0.16313933,0.28617123,0.40609485,0.006794989
Pgap1,0.5386834,0.13637972,0.15735552,0.14882448,0.018756866
Ankrd44,0.26122648,0.22602685,0.23319739,0.2563454,0.02320391
4930444A19Rik,0.6576113,0.114354365,0.09464373,0.12171413,0.01167649
Sf3b1,0.5500353,0.16864657,0.13421847,0.13681573,0.010283947
Coq10b,0.14850834,0.23735477,0.28000435,0.31057656,0.023555994
Hspd1,0.2691533,0.26292202,0.1940229,0.26078665,0.013115168
Hspe1,0.16872065,0.14163756,0.2690563,0.38904917,0.03153634
Mob4,0.17188895,0.16494316,0.27851152,0.36185786,0.022798538
Rftn2,0.166538,0.1937,0.29029042,0.3144298,0.03504181
Mars2,0.15131198,0.17586115,0.27483314,0.39529356,0.0027002096
Boll,0.22213373,0.16770902,0.252224,0.3070997,0.050833583
Plcl1,0.16768153,0.21230559,0.21789648,0.37475276,0.027363658
4930558J18Rik,0.2107633,0.13599904,0.26511487,0.35022792,0.037894845
1700066M21Rik,0.13259052,0.21366942,0.2904057,0.32840693,0.034927428
Tyw5,0.6106036,0.08816385,0.08024768,0.18194287,0.039041996
Maip1,0.7246153,0.031248348,0.115559585,0.12300587,0.005570948
Kctd18,0.22413892,0.22535989,0.22510928,0.3241234,0.001268506
Sgo2a,0.09637646,0.19448327,0.3057768,0.3594212,0.043942273
Bzw1,0.18224943,0.14955436,0.28288373,0.35195997,0.033352494
Clk1,0.21888185,0.20706795,0.2350292,0.3052737,0.033747256
Ppil3,0.13348685,0.16709661,0.28622186,0.41100726,0.0021873713
Nif3l1,0.37383914,0.17232333,0.19029672,0.23456784,0.028972983
Orc2,0.5944066,0.14941038,0.13788164,0.0987092,0.019592166
Gm15834,0.611581,0.11290987,0.15079188,0.11141959,0.013297677
Fam126b,0.0573988,0.1526393,0.34267494,0.43427533,0.013011634
Ndufb3,0.1431454,0.152558,0.2980478,0.3539677,0.05228114
Cflar,0.48644185,0.16906409,0.14232264,0.18135571,0.02081567
Casp8,0.15658346,0.2127342,0.26235878,0.33864886,0.029674709
Trak2,0.14699021,0.15484846,0.28471696,0.36461,0.048834443
Stradb,0.044710144,0.17502578,0.35367602,0.42630327,0.000284791
Tmem237,0.14703411,0.22632563,0.27336472,0.32885516,0.02442038
G730003C15Rik,0.82783943,0.045555774,0.055469554,0.065839805,0.005295396
Als2,0.12017833,0.18372877,0.29954392,0.38530445,0.011244535
Fzd7,0.076275624,0.22155727,0.30832505,0.38089344,0.012948632
Sumo1,0.07863029,0.22058208,0.2735322,0.4062998,0.020955563
Nop58,0.16616668,0.23260254,0.2525478,0.3121392,0.036543787
Bmpr2,0.13937227,0.22601144,0.25243014,0.38108495,0.0011012554
Fam117b,0.35285637,0.30214334,0.1369152,0.1813895,0.02669555
Ica1l,0.21473731,0.16659935,0.25882828,0.324567,0.03526807
Wdr12,0.83854896,0.058417287,0.046259563,0.049502824,0.0072713494
Carf,0.39148623,0.1505809,0.15259504,0.27650434,0.028833508
Nbeal1,0.22422455,0.18441886,0.23117289,0.3157881,0.044395626
Cyp20a1,0.16827446,0.19408718,0.26163527,0.3479964,0.028006673
Abi2,0.20318349,0.13490789,0.28770977,0.35685048,0.017348409
Raph1,0.36894712,0.14624923,0.22048406,0.2588286,0.0054910183
Cd28,0.14724971,0.2768454,0.27578756,0.29011044,0.010006905
Gm11579,0.3479143,0.10314021,0.2517651,0.29406428,0.0031161308
Ctla4,0.0931113,0.21186158,0.27429384,0.40204424,0.018689036
Icos,0.14044446,0.19129255,0.29188383,0.3366131,0.039766073
Pard3b,0.06717213,0.2120999,0.2854079,0.40358976,0.031730294
Nrp2,0.093968555,0.21481532,0.2769165,0.3974194,0.016880214
Ino80d,0.046581354,0.20872767,0.29755977,0.44634452,0.0007866621
Ino80dos,0.4182088,0.18330179,0.1698434,0.19799659,0.030649424
Gm20342,0.20865467,0.15694979,0.2751426,0.3387145,0.02053845
Ndufs1,0.14259315,0.31536034,0.22343259,0.30693245,0.011681497
Eef1b2,0.6627487,0.086540386,0.112887226,0.13046765,0.0073560476
Zdbf2,0.10269575,0.16307883,0.33124307,0.37009305,0.032889307
Fastkd2,0.3632809,0.16288963,0.22889593,0.19840646,0.046527147
Klf7,0.37442103,0.1767008,0.20024389,0.24328932,0.005344987
Creb1,0.063800886,0.17853679,0.3067568,0.44395703,0.0069485307
Mettl21a,0.07614713,0.25108156,0.25057086,0.38036633,0.041834116
2810408I11Rik,0.10553472,0.23422089,0.29897714,0.35827085,0.0029964447
Ccnyl1,0.11976338,0.14311539,0.3053819,0.4139911,0.017748237
Fzd5,0.07565455,0.17083623,0.28631145,0.43782702,0.029370785
Plekhm3,0.27998298,0.18315144,0.20986184,0.30182016,0.025183558
Idh1,0.21088967,0.24009277,0.22061989,0.3097129,0.018684745
Pikfyve,0.13377002,0.18107648,0.28644273,0.39619964,0.002511084
Map2,0.40302074,0.18802157,0.15427656,0.24967957,0.0050016046
Rpe,0.06056616,0.21826498,0.29047748,0.43018806,0.0005033016
Kansl1l,0.76962477,0.0707724,0.061102986,0.07596231,0.02253753
Acadl,0.086042136,0.24268897,0.25018817,0.40004018,0.021040559
Lancl1,0.1665101,0.15248114,0.27798927,0.37023234,0.032787144
Gm29113,0.17231692,0.21922058,0.278172,0.3122051,0.01808548
Gm29114,0.09517109,0.20108727,0.29303008,0.3977527,0.012958825
Ikzf2,0.48227033,0.14525382,0.1489409,0.1678105,0.055724442
Gm29112,0.3214485,0.2091038,0.22402953,0.2201466,0.025271595
Gm28112,0.2810133,0.21772993,0.22499369,0.25018266,0.02608037
Spag16,0.4224358,0.18726905,0.16574939,0.21188158,0.012664199
Bard1,0.2676956,0.1905426,0.23063177,0.2767823,0.034347773
Atic,0.3045793,0.16850102,0.2228014,0.30053475,0.0035835505
Fn1,0.2115539,0.16954578,0.29644266,0.3212855,0.001172185
Mreg,0.5308506,0.15404347,0.14367214,0.15133522,0.020098567
Pecr,0.23381677,0.15467915,0.250186,0.35707465,0.004243493
Xrcc5,0.40036702,0.1454015,0.20909007,0.20157212,0.043569326
Smarcal1,0.49854013,0.115097575,0.15734848,0.20977734,0.019236445
Rpl37a,0.24182898,0.14900479,0.23755832,0.3363369,0.03527099
Igfbp2,0.60938865,0.09555253,0.10976496,0.1643355,0.020958424
Tns1,0.33653316,0.18706012,0.20557593,0.25208265,0.018748105
Arpc2,0.15547319,0.18962252,0.26952803,0.34638453,0.03899175
Gpbar1,0.1321764,0.1566086,0.28052202,0.37479687,0.055896163
Aamp,0.6381535,0.10255788,0.1252462,0.12536919,0.008673191
Pnkd,0.52039194,0.14506797,0.11953172,0.16890213,0.04610622
Tmbim1,0.10888464,0.18589514,0.2652611,0.4292231,0.010735989
Gm29358,0.045991734,0.26056674,0.29554442,0.39449129,0.0034058094
Slc11a1,0.31075278,0.10717794,0.24137168,0.30133814,0.03935945
Ctdsp1,0.050470095,0.21038541,0.2934514,0.42372704,0.0219661
Vil1,0.16359118,0.2261685,0.2743758,0.31960142,0.016263127
Usp37,0.20351908,0.22040911,0.24190184,0.32378948,0.0103805065
Cnot9,0.7754012,0.089886226,0.06537689,0.061325766,0.008009911
Plcd4,0.045385852,0.14029574,0.3225427,0.4837984,0.007977247
Zfp142,0.32797265,0.17748323,0.18766476,0.2800513,0.02682811
Bcs1l,0.11979995,0.1596044,0.29475027,0.3792572,0.046588182
Rnf25,0.33302543,0.1595244,0.20549615,0.29595932,0.0059946775
Stk36,0.3439602,0.1874904,0.21015991,0.20474601,0.053643465
Ttll4,0.05561358,0.22835079,0.28952318,0.39433867,0.032173812
Wnt10a,0.15238562,0.17103629,0.28079078,0.36749634,0.028290987
Nhej1,0.2713814,0.18783402,0.24074624,0.21769503,0.08234334
Cnppd1,0.02295258,0.15730733,0.34415329,0.46452633,0.011060476
Retreg2,0.088361785,0.27212498,0.27910644,0.34355736,0.016849458
Zfand2b,0.16330993,0.17668194,0.2760817,0.34178308,0.042143345
Abcb6,0.34259203,0.16371733,0.20747153,0.21839918,0.06781989
Atg9a,0.17541875,0.18656094,0.28533778,0.3228097,0.029872835
Ankzf1,0.05609513,0.14712101,0.31128213,0.4467172,0.038784564
Glb1l,0.08671158,0.2034363,0.28331244,0.39462918,0.03191048
Stk16,0.18228336,0.14236861,0.2846344,0.3500332,0.04068041
Tuba4a,0.7698048,0.084726475,0.0711101,0.064292155,0.010066569
A630095N17Rik,0.23315202,0.19537902,0.27234983,0.2944969,0.004622221
Dnajb2,0.44260088,0.18033324,0.16891657,0.1976619,0.010487437
Ptprn,0.24425632,0.20195761,0.22680238,0.29427207,0.032711625
Dnpep,0.3978335,0.16358998,0.1903448,0.21611103,0.032120705
Gmppa,0.51063144,0.14153253,0.14451702,0.19246301,0.010856032
Chpf,0.6333346,0.12610517,0.112670906,0.11110132,0.016788006
Obsl1,0.19363402,0.19967692,0.25115296,0.3288638,0.026672304
Tmem198,0.11174651,0.1408681,0.32340685,0.39416513,0.029813409
Stk11ip,0.2340674,0.15572958,0.23311506,0.34178463,0.035303354
Pax3,0.12663177,0.15761513,0.30788735,0.37349722,0.034368515
Farsb,0.6646996,0.088920325,0.09877922,0.12784626,0.019754648
Mogat1,0.18152986,0.1710458,0.25116876,0.34207314,0.05418247
Acsl3,0.18329875,0.14073311,0.28100464,0.3736409,0.021322608
Utp14b,0.2701354,0.25484902,0.22059095,0.24493428,0.009490371
Ap1s3,0.14945562,0.14499053,0.27721232,0.3937471,0.034594417
Wdfy1,0.32306376,0.19977303,0.2127848,0.23166838,0.032710075
Mrpl44,0.12575844,0.19064102,0.26250675,0.41830692,0.0027868748
Serpine2,0.35396877,0.15271336,0.21215045,0.24139555,0.039771855
Fam124b,0.15601969,0.15435463,0.26748213,0.38609654,0.03604704
Cul3,0.13059695,0.19762479,0.3028685,0.3463152,0.022594571
Dock10,0.17260085,0.1586156,0.27107766,0.35729995,0.04040599
Rhbdd1,0.0835756,0.2106998,0.31029087,0.37250665,0.022927046
Col4a4,0.46183115,0.140369,0.17546234,0.19947734,0.02286017
C430014B12Rik,0.086519524,0.111621656,0.3147582,0.45563135,0.031469226
Mff,0.10625035,0.17081352,0.25472277,0.462093,0.006120324
Gm28942,0.19383733,0.16146955,0.24309774,0.33973628,0.06185913
Agfg1,0.19768763,0.17925799,0.28117144,0.32255322,0.019329727
A030005L19Rik,0.15680997,0.24410677,0.23568033,0.3608735,0.0025293827
Pid1,0.49000916,0.14125027,0.14880285,0.20150734,0.018430352
Trip12,0.053347453,0.19332431,0.3045363,0.44394252,0.004849434
Fbxo36,0.6651381,0.099632494,0.101815455,0.110437796,0.0229761
C130026I21Rik,0.082521886,0.18183489,0.29453498,0.4241367,0.016971529
A530032D15Rik,0.32016024,0.16688614,0.22106339,0.27204227,0.01984799
Gm10553,0.20120439,0.29946995,0.20873514,0.2820673,0.008523226
A530040E14Rik,0.1915151,0.11151531,0.29719797,0.39907342,0.0006981492
Sp110,0.16244993,0.20884354,0.28186762,0.33812162,0.0087172985
Sp140,0.45102683,0.117496066,0.14758037,0.267449,0.016447783
Gm10552,0.077201344,0.1616942,0.3335808,0.40687037,0.020653307
Gm17017,0.13957334,0.21737722,0.27327186,0.34582576,0.023951769
Sp100,0.14718616,0.20330842,0.26873115,0.35271484,0.028059423
A630001G21Rik,0.07318929,0.15666614,0.35131985,0.40356112,0.015263617
Cab39,0.070250764,0.18856168,0.31447506,0.3955641,0.031148434
Itm2c,0.12231116,0.21304223,0.26528686,0.3866602,0.012699604
Gpr55,0.20541953,0.14740148,0.30359605,0.32861665,0.014966369
2810459M11Rik,0.0914547,0.14561957,0.31260973,0.41902584,0.031290174
Psmd1,0.1474647,0.15725271,0.25498372,0.38761917,0.052679658
Armc9,0.16022114,0.15017268,0.3323782,0.33939457,0.017833412
Gm16341,0.18639077,0.22329378,0.24001093,0.3313035,0.019001007
Ncl,0.1904936,0.160288,0.27031896,0.34631243,0.03258705
C130036L24Rik,0.08970968,0.24676363,0.25463846,0.38157976,0.027308464
Nmur1,0.15335003,0.1477122,0.2977998,0.37954837,0.021589577
Ptma,0.45965096,0.14961204,0.15003671,0.1921802,0.04852009
Pde6d,0.32730258,0.1679848,0.20890038,0.26951176,0.02630049
Cops7b,0.46315998,0.22269082,0.12699386,0.1528318,0.034323573
Nppc,0.04662713,0.17823459,0.33584863,0.40125018,0.038039446
Dis3l2,0.1407087,0.13855082,0.28887898,0.41874903,0.013112485
Gm29055,0.17453149,0.17131618,0.26046002,0.3654993,0.028192997
Eif4e2,0.630704,0.12700231,0.113466,0.112008005,0.016819715
Gigyf2,0.09382042,0.17405556,0.31040972,0.39045003,0.031264305
Inpp5d,0.11636568,0.16176108,0.2936231,0.40536955,0.022880673
Atg16l1,0.10074559,0.15823275,0.32652748,0.39292136,0.021572828
Sag,0.111004315,0.16885996,0.29047215,0.4145508,0.015112758
Dgkd,0.7079984,0.130221,0.075389974,0.07919958,0.007191062
Gm19582,0.09698268,0.16593702,0.27377617,0.44472325,0.018580914
Usp40,0.5907964,0.102167845,0.12684898,0.16272429,0.017462492
Ugt1a10,0.20797978,0.19423072,0.23441216,0.31524804,0.04812932
Gm20528,0.59859836,0.13804585,0.12759227,0.10576591,0.029997587
Ugt1a9,0.054457847,0.22463062,0.26431242,0.4218859,0.03471321
Ugt1a7c,0.107607186,0.17726775,0.3055008,0.3683904,0.041233897
Ugt1a6b,0.5869689,0.09419784,0.13529733,0.12984422,0.053691745
Ugt1a6a,0.13389912,0.14283973,0.3018785,0.41288394,0.008498728
Dnajb3,0.067111924,0.22947527,0.2816571,0.40547195,0.01628375
Mroh2a,0.21349303,0.18985222,0.2207522,0.3532596,0.02264297
Hjurp,0.37205833,0.16849768,0.19094878,0.25527176,0.01322341
Glrp1,0.33801717,0.17307477,0.19497123,0.27050155,0.023435295
Gm29336,0.10825476,0.2098242,0.27200195,0.39571202,0.014207065
Arl4c,0.12547019,0.2103701,0.27999884,0.35942194,0.024738908
Sh3bp4,0.11313548,0.18969434,0.32263187,0.35525328,0.019285023
Agap1,0.15940319,0.22264677,0.27170345,0.33428833,0.011958241
Cops8,0.4863856,0.13198231,0.14498685,0.1931323,0.04351294
Col6a3,0.23327221,0.18417625,0.21532156,0.36044815,0.0067818165
Lrrfip1,0.21020336,0.21303062,0.20282802,0.3367893,0.037148654
Rbm44,0.10619552,0.19945414,0.3018368,0.384749,0.0077645183
Ramp1,0.1252312,0.17705357,0.28022987,0.41581342,0.0016719103
Ube2f,0.09303143,0.20437235,0.2819415,0.40869,0.011964679
Scly,0.29115072,0.13246654,0.25418213,0.2686852,0.053515434
Klhl30,0.09533415,0.18461315,0.30826294,0.39146838,0.02032137
Erfe,0.050814766,0.13864496,0.3270446,0.47096106,0.012534618
Ilkap,0.27783838,0.20199326,0.21311614,0.2880926,0.018959641
1700020N18Rik,0.038214173,0.18077147,0.29710594,0.4472542,0.036654234
Hes6,0.098407626,0.18508253,0.31471723,0.38319537,0.018597245
Per2,0.42574078,0.14071658,0.22025414,0.1843589,0.028929591
Traf3ip1,0.11004323,0.20587334,0.29923576,0.36772913,0.017118514
Asb1,0.21599889,0.21806796,0.2680608,0.27871314,0.019159198
Hdac4,0.18426472,0.19032346,0.2739441,0.33703262,0.0144351125
Ndufa10,0.19436279,0.22358707,0.27125058,0.2923023,0.018497288
Cops9,0.1300396,0.2375841,0.21959336,0.36211643,0.05066657
Otos,0.2943857,0.1775535,0.21688822,0.27430016,0.036872447
Gpc1,0.20432708,0.18043855,0.24694309,0.33251128,0.035779953
Dusp28,0.18947364,0.14535281,0.27017075,0.35918522,0.035817564
5033417F24Rik,0.07481027,0.19948477,0.28926307,0.4193514,0.0170905
Rnpepl1,0.8637214,0.04279481,0.046106458,0.042559654,0.004817724
9430060I03Rik,0.6665975,0.1421953,0.07374351,0.10626362,0.01120007
Capn10,0.28967804,0.22561364,0.19660614,0.26443517,0.023666978
Gpr35,0.18794839,0.16916369,0.25348023,0.35339126,0.036016464
Kif1a,0.21321166,0.26311037,0.23738396,0.282848,0.003445983
Sned1,0.06588669,0.18741708,0.28950924,0.44313473,0.014052272
Mterf4,0.1030689,0.18896082,0.30160072,0.38177246,0.024597108
Gm28535,0.37077248,0.22506805,0.1833933,0.19414133,0.026624858
Pask,0.11431646,0.20844442,0.2784402,0.3727797,0.026019216
